name,,,,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Afghanistan,Afghanistan,Asia,https://public.flourish.studio/country-flags/svg/af.svg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6206547590,5621147631,7228795919,7867263256,7978515642,8874480196,9349921886,10642671963.11354,11060395115.68086,13426272073.23976,15354612541.50594,15420077666,17386490239.35363,18360263162.75784,18860496494.04041,19134221644.73249,19566715174.16328,20084646751.49538,20323499020.36386,21118473702.34708,20621957125.20773,16345202562.54847,15325233810.13884,15672648238.10051,
Albania,Albania,Europe,https://public.flourish.studio/country-flags/svg/al.svg,,,,,,,,,,,,,,,,,,,,,4872357833,5152305745,5304226467,5362834895,5295713833,5390011642,5693859705,5649001050,5568782995,6116559061,5530859375,3982100298,3695902333,4049208852,4385409261,4969648101,5334237833,4709514660,5100876515,5725771033,6153077236,6698469429,7008501112,7382282997,7771053342,8169772251,8661509310,9224515437,9861658465,10127011190.74908,10428102872.27064,10685000942.53365,10790155229.50922,10974367815.09398,11220218560.89977,11470171826.95748,11918533446.97494,12309839868.70842,12761785703.10706,13025007474.88947,12593390460.14203,13722964212.46197,14385329993.53415,14951625324.01891,15543966722.07065
Algeria,Algeria,Africa,https://public.flourish.studio/country-flags/svg/dz.svg,27287513101.98295,23574926517.95032,18934192372.52398,25431219789.97743,26916253746.41741,28586918218.69106,27213325104.70299,29785790538.94404,33001535545.81721,35784647535.92273,38956118145.08103,34541720238.01405,44014431054.10079,45692778905.92662,49117415081.83862,51595556464,55922750141,58863496043.63583,64287670492,69094990985.06801,69641260800.99692,71730495900.95143,76321250590.20671,80442600430.42781,84947383263,88090434111.49289,88442796731,87823699342,86945457527,90771059536.25812,91497228539.17915,90399261260.13055,92026450044.28764,90093893897,89283051957.23471,92675803281,96475509798.65106,97536740345.50468,102511117625.24844,105791474981.45444,109811551032.42624,113105897561.89508,119213616030.23744,126962501072.9425,132675813620.92906,139840307556.0549,143895676473.86392,148356442446.40527,152065353506.51755,153890137748.1323,161276864361.48248,166115170291.39008,170101934378.9554,174524584673.84866,181680092643.14648,187493855609.34464,194806115978.43945,1.97728E+11,200496402625.8527,202300870247.91977,192185826737.3729,199488888151.4848,206670488126.83167,215143978140.15503,222243729417.48087
Andorra,Andorra,Europe,https://public.flourish.studio/country-flags/svg/ad.svg,,,,,,,,,,,859121720.6,899066287.4,972337884,1048068102,1106956843,1112958826,1149728616,1182364531,1199662526,1200161073,1226669362,1225044338,1240314039,1262269065,1284796613,1314622306,1357391200,1432687348,1505673115,1578352472,1638036096,1679740553,1695348938,1677861678,1717848180,1765217871,1847295889,2014802622,2079171403,2164398280,2240766094,2422701909,2532846713,2753057567,2977037420,3137731826,3288615582,3339693969,3154034157,2986780566,2927792904,2927556638,2781926981,2683235436,2750436143,2789881259,2893376872,2903390036,2949518095,3008967037,2672445971,2893905657,3170696512,3252613194,3362285467
Angola,Angola,Africa,https://public.flourish.studio/country-flags/svg/ao.svg,,,,,,,,,,,,,,,,,,,,,23063262074.12865,22048478261.80644,22048478261.80644,22974514663.77308,24352986041.01852,25205340428.27494,25936295739.89006,26995209500.20778,28649716324.68792,28661640755.43454,27672785864.63115,27947122601.43509,26315491127.13089,20004137038.18341,20272065135.45617,23312874912,26470456890.20093,28395991341.42496,29728088881.44617,30376604083.87309,31304495193.77883,32621161809.65333,37079068252.73583,38187732393.49264,42369289092.85091,48737393239.50306,54366562157.63195,61983317520.59492,68906854084.05942,69499453030.66574,72556300249.88297,75075493556.76758,81488522604,85525963564,89650503847.70413,90496420506.59564,88161567931.43785,88031782694.37866,86872966032.87347,86262880684.94563,81399194250.73004,82375341952.56158,84883445838.16035,85798573860.05206,89594220855.24825
Antigua and Barbuda,Antigua and Barbuda,Americas,https://public.flourish.studio/country-flags/svg/ag.svg,,,,,,,,,,,,,,,,,,387163203.1,404134550.4,436786384.1,472436818.3,490457675.8,490048110.8,516333403.8,568819882.6,612299589.4,682675279.8,727910265,765857188.3,806082316.6,830360010,848435719.9,858265278.5,903580714,963907436,921883147.4,982773021.1,1036543047,1085584792,1125835518,1195677312,1141296595,1153020391,1223085251,1293621842,1377366903,1552404720,1697014056,1696776362,1493793051,1376672105,1349706642,1395234173,1386849062,1417336053,1437485185,1496714858,1537316640,1640501408,1692541753,1373179832,1485407940,1620696017,1660036193,1731874615
Argentina,Argentina,Americas,https://public.flourish.studio/country-flags/svg/ar.svg,150797810295.88416,158982878499.52405,157628310158.56668,149261089202.8117,164381681831.9179,181755894112.4329,180556802912.31104,186320169964.57608,195305461613.15607,214210104570.48184,220734180309.32224,233223609573.6692,237021461356.4476,243685921868.2263,257171024124.4516,257097956426.3625,251909073021.0384,269376820356.4308,257238364643.4741,2.83535E+11,287841521828.6344,272903153784.45828,270895516738.16028,282677015450.4568,287117132733.2874,272218554792.86124,288969188904.0536,296785426416.39294,293550663101.6488,272541389928.66968,265817211205.31143,290094591011.84406,313120244489.8896,338817957426.0348,358592053441.5451,348389357874.28314,367643757074.8025,397463514160.8664,412766570325.76416,398792535409.2927,395646066535.8751,378202665751.8527,336999433710.19293,366780211148.6741,399898899166.7381,435296589745.3388,470325565798.3527,512690850741.5605,533491913656.27856,501917060966.2351,552738161802.4628,585924294024.7853,5.7991E+11,593858966307.1565,578937574935.6956,594749285413.2124,5.82377E+11,598790850843.6769,583118120294.0024,5.71451E+11,514874343768.0657,5.68637E+11,5.98603E+11,588959512629.6919,578834679333.0107
Armenia,Armenia,Asia,https://public.flourish.studio/country-flags/svg/am.svg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5839777094,5156523263,3001096397,2736999951,2884798024,3083849042,3264729147,3373153404,3619393602,3738833591,3959424773,4339529551,4912347451,5600076095,6188084085,7048227772,7978593838,9071661194,9697605817,8330243396,8513508751,8913643662,9555426006,9870755064,10226102246.62763,10553337518,10574444193.43246,11367527508.11347,11958638938.49595,12867495497.64695,11941035822,12633615899.66816,14225451502.99813,15406163977.68941,16315127652.44431
Australia,Australia,Oceania,https://public.flourish.studio/country-flags/svg/au.svg,204556496020.6162,209634264251.7244,212347394915.94687,225547290344.0749,241290865664.32584,255720398204.7093,261804000641.5261,278310424154.66364,292486739692.21136,313093232453.28546,335559847086.2011,348984184857.7517,362631046662.09735,372130520889.69366,387414341096.2098,392589303732.4469,402751234563.4215,417230643180.1212,420958560166.31433,438009144460.7984,451305594857.1794,466379040331.54175,481887942318.35657,471169061968.5184,492813360779.0936,518826292325.4617,539404649863.9984,5.53211E+11,585064279420.7928,607725922300.8422,629466776079.6704,627060575115.8547,629746209994.4159,655230327244.4578,681311039099.6658,7.07786E+11,735134359250.4105,763901984857.9315,799524373774.5416,839721933537.8435,872651653770.2579,890323770708.0659,9.25755E+11,954367849882.3635,994683066030.8214,1026057036344.2982,1054328458936.161,1094111663603.9136,1133349428616.5676,1154798699180.0093,1180435002406.5027,1208849019421.6797,1256196122893.837,1288884775424.0566,1322334997273.4111,1351296372254.314,1388583854795.632,1420237898460.7302,1461119016244.3132,1492847874023.8855,1491062566266.518,1522541404227.634,1587133480804.5327,1641762491418.8457,1665257959985.0005
Austria,Austria,Europe,https://public.flourish.studio/country-flags/svg/at.svg,83828673167,88471087748.05836,90814399431.39964,94572542282.46709,100364499310.5136,103857359442.08984,109717886300.46162,113018252763.06567,1.18073E+11,125482873518.63556,134420862375.86876,141296447063.21878,150067933491.10446,157406909711.42755,163612107622.7263,1.63017E+11,170480635017.6739,1.79141E+11,178763652138.15588,188339484583.6227,191600555442.36526,191324085936.1349,195172100328.6295,200974738307.01227,201077788420.2537,206102076591.17303,210845294931.65567,213706819792.77457,220750339732.7472,229331070530.3848,239296977478.17487,2.47533E+11,252714845320.17804,254046171814.29337,260148661734.7352,267089386116.81192,273007464944.44028,278865754830.7073,288606201090.6468,299463348050.58264,309014800203.2659,313084486481.8466,317731814841.84973,321358930178.2876,329602607297.43365,337250591306.4876,348276446349.0754,361424664731.66846,366677269701.4163,353527252121.6403,359922497999.32623,370459113959.14496,3.72787E+11,371851835129.74207,374662287024.5342,379546097300.6326,387581921834.2965,396388751744.5916,406235924915.1849,413365268699.04895,3.87248E+11,405817601897.0458,4.27236E+11,423156280851.0669,418190370366.67285
